date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:04:44	150738/150738	---M--	200	added ('OK')	image/png	etag:%225820873-24cd2-549b13fbdddc0%22	https://www.surfprescriptions.com/boards/ndr.png	D:/Downloads/Surf/www.surfprescriptions.com/boards/ndr.png	(from https://www.surfprescriptions.com/boards.html)
13:04:44	155080/155080	---M--	200	added ('OK')	image/png	etag:%225820875-25dc8-549b13fbdddc0%22	https://www.surfprescriptions.com/boards/newbuddy.png	D:/Downloads/Surf/www.surfprescriptions.com/boards/newbuddy.png	(from https://www.surfprescriptions.com/boards.html)
13:04:44	127973/127973	---M--	200	added ('OK')	image/png	etag:%22582087e-1f3e5-549b13fdc6240%22	https://www.surfprescriptions.com/boards/proiixv.png	D:/Downloads/Surf/www.surfprescriptions.com/boards/proiixv.png	(from https://www.surfprescriptions.com/boards.html)
13:04:46	4521/4521	---M-Z	200	added ('OK')	text/html	etag:%22582085e-11a9-549b13f530e00-gzip%22	https://www.surfprescriptions.com/seahawk.html	D:/Downloads/Surf/www.surfprescriptions.com/seahawk.html	(from https://www.surfprescriptions.com/boards.html)
13:04:46	4582/4582	---M-Z	200	added ('OK')	text/html	etag:%225820860-11e6-549b13f530e00-gzip%22	https://www.surfprescriptions.com/spanishomelette.html	D:/Downloads/Surf/www.surfprescriptions.com/spanishomelette.html	(from https://www.surfprescriptions.com/boards.html)
13:04:46	4573/4573	---M-Z	200	added ('OK')	text/html	etag:%225820856-11dd-549b13f530e00-gzip%22	https://www.surfprescriptions.com/newtoy.html	D:/Downloads/Surf/www.surfprescriptions.com/newtoy.html	(from https://www.surfprescriptions.com/boards.html)
13:04:47	4678/4678	---M-Z	200	added ('OK')	text/html	etag:%225820896-1246-549b13f43cbc0-gzip%22	https://www.surfprescriptions.com/deadly.html	D:/Downloads/Surf/www.surfprescriptions.com/deadly.html	(from https://www.surfprescriptions.com/boards.html)
13:04:47	4749/4749	---M-Z	200	added ('OK')	text/html	etag:%22582085d-128d-549b13f43cbc0-gzip%22	https://www.surfprescriptions.com/flyingturtle.html	D:/Downloads/Surf/www.surfprescriptions.com/flyingturtle.html	(from https://www.surfprescriptions.com/boards.html)
13:04:49	284448/284448	---M--	200	added ('OK')	image/png	etag:%225820876-45720-549b13f80d4c0%22	https://www.surfprescriptions.com/boards/deadly.png	D:/Downloads/Surf/www.surfprescriptions.com/boards/deadly.png	(from https://www.surfprescriptions.com/boards.html)
13:04:49	284690/284690	---M--	200	added ('OK')	image/png	etag:%22582087b-45812-549b13fdc6240%22	https://www.surfprescriptions.com/boards/newtoy.png	D:/Downloads/Surf/www.surfprescriptions.com/boards/newtoy.png	(from https://www.surfprescriptions.com/boards.html)
